LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HOUSECOST,NOMINAL,IDX2015,A,1970,11.1616576338809,
USA,HOUSECOST,NOMINAL,IDX2015,A,1971,12.0625007710134,
USA,HOUSECOST,NOMINAL,IDX2015,A,1972,12.9285493461354,
USA,HOUSECOST,NOMINAL,IDX2015,A,1973,14.4622046122904,
USA,HOUSECOST,NOMINAL,IDX2015,A,1974,15.7847237317955,
USA,HOUSECOST,NOMINAL,IDX2015,A,1975,16.7697783652387,
USA,HOUSECOST,NOMINAL,IDX2015,A,1976,17.8056177218491,
USA,HOUSECOST,NOMINAL,IDX2015,A,1977,19.7403866555048,
USA,HOUSECOST,NOMINAL,IDX2015,A,1978,22.3777365067326,
USA,HOUSECOST,NOMINAL,IDX2015,A,1979,25.3476769444154,
USA,HOUSECOST,NOMINAL,IDX2015,A,1980,27.3679310087264,
USA,HOUSECOST,NOMINAL,IDX2015,A,1981,28.8472244806102,
USA,HOUSECOST,NOMINAL,IDX2015,A,1982,29.7120935759103,
USA,HOUSECOST,NOMINAL,IDX2015,A,1983,30.8240681270103,
USA,HOUSECOST,NOMINAL,IDX2015,A,1984,32.2626225913164,
USA,HOUSECOST,NOMINAL,IDX2015,A,1985,34.186038031057,
USA,HOUSECOST,NOMINAL,IDX2015,A,1986,36.8347413761998,
USA,HOUSECOST,NOMINAL,IDX2015,A,1987,39.7312180297259,
USA,HOUSECOST,NOMINAL,IDX2015,A,1988,42.257036499552,
USA,HOUSECOST,NOMINAL,IDX2015,A,1989,44.6699878828101,
USA,HOUSECOST,NOMINAL,IDX2015,A,1990,45.8267085569874,
USA,HOUSECOST,NOMINAL,IDX2015,A,1991,46.2472915071247,
USA,HOUSECOST,NOMINAL,IDX2015,A,1992,47.4079111197408,
USA,HOUSECOST,NOMINAL,IDX2015,A,1993,48.5523950073552,
USA,HOUSECOST,NOMINAL,IDX2015,A,1994,50.1809506275181,
USA,HOUSECOST,NOMINAL,IDX2015,A,1995,51.4821815551482,
USA,HOUSECOST,NOMINAL,IDX2015,A,1996,52.9977871077998,
USA,HOUSECOST,NOMINAL,IDX2015,A,1997,54.5110875554511,
USA,HOUSECOST,NOMINAL,IDX2015,A,1998,57.1435157482144,
USA,HOUSECOST,NOMINAL,IDX2015,A,1999,60.6392052060639,
USA,HOUSECOST,NOMINAL,IDX2015,A,2000,64.7088654339709,
USA,HOUSECOST,NOMINAL,IDX2015,A,2001,69.189986639419,
USA,HOUSECOST,NOMINAL,IDX2015,A,2002,74.0687381949069,
USA,HOUSECOST,NOMINAL,IDX2015,A,2003,79.7508183179751,
USA,HOUSECOST,NOMINAL,IDX2015,A,2004,87.2838965562284,
USA,HOUSECOST,NOMINAL,IDX2015,A,2005,96.4155640671416,
USA,HOUSECOST,NOMINAL,IDX2015,A,2006,102.088423785209,
USA,HOUSECOST,NOMINAL,IDX2015,A,2007,102.094186535209,
USA,HOUSECOST,NOMINAL,IDX2015,A,2008,93.8027292543803,
USA,HOUSECOST,NOMINAL,IDX2015,A,2009,88.2382094063238,
USA,HOUSECOST,NOMINAL,IDX2015,A,2010,85.6150016235615,
USA,HOUSECOST,NOMINAL,IDX2015,A,2011,82.009819750701,
USA,HOUSECOST,NOMINAL,IDX2015,A,2012,84.3909916634391,
USA,HOUSECOST,NOMINAL,IDX2015,A,2013,90.3784980040379,
USA,HOUSECOST,NOMINAL,IDX2015,A,2014,94.9575861094958,
USA,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
USA,HOUSECOST,NOMINAL,IDX2015,A,2016,105.948319585595,
USA,HOUSECOST,NOMINAL,IDX2015,A,2017,112.935088286294,
USA,HOUSECOST,NOMINAL,IDX2015,A,2018,120.378267487038,
